"carat";"cut";"price"
0,23;"Ideal";326
0,21;"Premium";326
0,23;"Good";327
0,29;"Premium";334
0,31;"Good";335
0,24;"Very Good";336
0,24;"Very Good";336
0,26;"Very Good";337
0,22;"Fair";337
0,23;"Very Good";338
0,3;"Good";339
0,23;"Ideal";340
0,22;"Premium";342
0,31;"Ideal";344
0,2;"Premium";345
0,32;"Premium";345
0,3;"Ideal";348
0,3;"Good";351
0,3;"Good";351
0,3;"Very Good";351
0,3;"Good";351
0,23;"Very Good";352
0,23;"Very Good";353
0,31;"Very Good";353
0,31;"Very Good";353
0,23;"Very Good";354
0,24;"Premium";355
0,3;"Very Good";357
0,23;"Very Good";357
0,23;"Very Good";357
0,23;"Very Good";402
0,23;"Very Good";402
0,23;"Very Good";402
0,23;"Very Good";402
0,23;"Very Good";402
0,23;"Good";402
0,23;"Good";402
0,31;"Good";402
0,26;"Very Good";403
0,33;"Ideal";403
0,33;"Ideal";403
0,33;"Ideal";403
0,26;"Good";403
0,26;"Good";403
0,32;"Good";403
0,29;"Premium";403
0,32;"Very Good";403
0,32;"Good";403
0,25;"Very Good";404
0,29;"Very Good";404
0,24;"Very Good";404
0,23;"Ideal";404
0,32;"Ideal";404
0,22;"Premium";404
0,22;"Premium";404
0,3;"Ideal";405
0,3;"Premium";405
0,3;"Very Good";405
0,3;"Very Good";405
0,3;"Good";405
0,35;"Ideal";552
0,3;"Premium";552
0,3;"Ideal";552
0,3;"Ideal";552
0,42;"Premium";552
0,28;"Ideal";553
0,32;"Ideal";553
0,31;"Very Good";553
0,31;"Premium";553
0,24;"Premium";553
0,24;"Very Good";553
0,3;"Very Good";554
0,3;"Premium";554
0,3;"Premium";554
0,3;"Good";554
0,26;"Very Good";554
0,26;"Very Good";554
0,26;"Very Good";554
0,26;"Very Good";554
0,26;"Very Good";554
0,26;"Very Good";554
0,26;"Very Good";554
0,26;"Ideal";554
0,38;"Ideal";554
0,26;"Good";554
0,24;"Premium";554
0,24;"Premium";554
0,24;"Premium";554
0,24;"Premium";554
0,32;"Premium";554
0,7;"Ideal";2757
0,86;"Fair";2757
0,7;"Ideal";2757
0,71;"Very Good";2759
0,78;"Very Good";2759
0,7;"Good";2759
0,7;"Good";2759
0,96;"Fair";2759
0,73;"Very Good";2760
0,8;"Premium";2760
0,75;"Very Good";2760
0,75;"Premium";2760
0,74;"Ideal";2760
0,75;"Premium";2760
0,8;"Ideal";2760
0,75;"Ideal";2760
0,8;"Premium";2760
0,74;"Ideal";2761
0,81;"Ideal";2761
0,59;"Ideal";2761
0,8;"Ideal";2761
0,74;"Ideal";2761
0,9;"Premium";2761
0,74;"Very Good";2762
0,73;"Ideal";2762
0,73;"Ideal";2762
0,8;"Premium";2762
0,71;"Ideal";2762
0,7;"Ideal";2762
0,8;"Ideal";2762
0,71;"Ideal";2762
